modelyear,maker,model,vehicleclass,enginesize,cylinders,transmission,fueltype,fuelconsumption_city,fuelconsumption_hwy,fuelconsumption_comb,fuelconsumption_comb_mpg,co2emissions
2014,acura,ilx,compact,2.0,4,as5,z,9.9,6.7,8.5,33,196
2014,acura,ilx,compact,2.4,4,m6,z,11.2,7.7,9.6,29,221
2014,acura,ilx hybrid,compact,1.5,4,av7,z,6.0,5.8,5.9,48,136
2014,acura,mdx 4wd,suv - small,3.5,6,as6,z,12.7,9.1,11.1,25,255
2014,acura,rdx awd,suv - small,3.5,6,as6,z,12.1,8.7,10.6,27,244
2014,acura,rlx,mid-size,3.5,6,as6,z,11.9,7.7,10.0,28,230
2014,acura,tl,mid-size,3.5,6,as6,z,11.8,8.1,10.1,28,232
2014,acura,tl awd,mid-size,3.7,6,as6,z,12.8,9.0,11.1,25,255
2014,acura,tl awd,mid-size,3.7,6,m6,z,13.4,9.5,11.6,24,267
2014,acura,tsx,compact,2.4,4,as5,z,10.6,7.5,9.2,31,212
2014,acura,tsx,compact,2.4,4,m6,z,11.2,8.1,9.8,29,225
2014,acura,tsx,compact,3.5,6,as5,z,12.1,8.3,10.4,27,239
2014,aston martin,db9,minicompact,5.9,12,a6,z,18.0,12.6,15.6,18,359
2014,aston martin,rapide,subcompact,5.9,12,a6,z,18.0,12.6,15.6,18,359
2014,aston martin,v8 vantage,two-seater,4.7,8,am7,z,17.4,11.3,14.7,19,338
2014,aston martin,v8 vantage,two-seater,4.7,8,m6,z,18.1,12.2,15.4,18,354
2014,aston martin,v8 vantage s,two-seater,4.7,8,am7,z,17.4,11.3,14.7,19,338
2014,aston martin,v8 vantage s,two-seater,4.7,8,m6,z,18.1,12.2,15.4,18,354
2014,aston martin,vanquish,minicompact,5.9,12,a6,z,18.0,12.6,15.6,18,359
2014,audi,a4,compact,2.0,4,av8,z,9.9,7.4,8.8,32,202
2014,audi,a4 quattro,compact,2.0,4,as8,z,11.5,8.1,10.0,28,230
2014,audi,a4 quattro,compact,2.0,4,m6,z,10.8,7.5,9.3,30,214
2014,audi,a5 cabriolet quattro,subcompact,2.0,4,as8,z,11.5,8.1,10.0,28,230
2014,audi,a5 quattro,subcompact,2.0,4,as8,z,11.5,8.1,10.0,28,230
2014,audi,a5 quattro,subcompact,2.0,4,m6,z,10.8,7.5,9.3,30,214
2014,audi,a6 quattro,mid-size,2.0,4,as8,z,12.0,8.1,10.2,28,235
2014,audi,a6 quattro,mid-size,3.0,6,as8,z,12.8,8.6,10.9,26,251
2014,audi,a6 quattro tdi clean diesel,mid-size,3.0,6,as8,d,9.8,6.4,8.3,34,224
2014,audi,a7 quattro,mid-size,3.0,6,as8,z,13.1,8.8,11.2,25,258
2014,audi,a7 quattro tdi clean diesel,mid-size,3.0,6,as8,d,9.8,6.4,8.3,34,224
2014,audi,a8,mid-size,3.0,6,as8,z,13.1,8.8,11.2,25,258
2014,audi,a8,mid-size,4.0,8,as8,z,13.5,8.6,11.3,25,260
2014,audi,a8 tdi clean diesel,mid-size,3.0,6,as8,d,10.0,6.4,8.4,34,227
2014,audi,a8l,full-size,3.0,6,as8,z,13.1,8.8,11.2,25,258
2014,audi,a8l,full-size,4.0,8,as8,z,14.7,9.7,12.5,23,288
2014,audi,a8l,full-size,6.3,12,as8,z,18.2,12.6,15.7,18,361
2014,audi,a8l tdi clean diesel,full-size,3.0,6,as8,d,10.1,6.5,8.5,33,230
2014,audi,allroad quattro,station wagon - small,2.0,4,as8,z,11.8,8.8,10.5,27,242
2014,audi,q5,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2014,audi,q5,suv - small,3.0,6,as8,z,12.9,9.2,11.2,25,258
2014,audi,q5 hybrid,suv - small,2.0,4,as8,z,9.9,8.3,9.2,31,212
2014,audi,q5 tdi clean diesel,suv - small,3.0,6,as8,d,10.3,7.6,9.1,31,246
2014,audi,q7,suv - standard,3.0,6,as8,z,15.1,10.9,13.2,21,304
2014,audi,q7 tdi clean diesel,suv - standard,3.0,6,as8,d,12.9,8.4,10.9,26,294
2014,audi,r8,two-seater,4.2,8,a7,z,17.6,11.0,14.6,19,336
2014,audi,r8,two-seater,4.2,8,m6,z,21.2,13.4,17.7,16,407
2014,audi,r8,two-seater,5.2,10,a7,z,18.8,11.3,15.4,18,354
2014,audi,r8,two-seater,5.2,10,m6,z,21.1,13.8,17.8,16,409
2014,audi,r8 spyder,two-seater,4.2,8,a7,z,17.6,11.0,14.6,19,336
2014,audi,r8 spyder,two-seater,4.2,8,m6,z,21.2,13.4,17.7,16,407
2014,audi,r8 spyder,two-seater,5.2,10,a7,z,18.8,11.3,15.4,18,354
2014,audi,r8 spyder,two-seater,5.2,10,m6,z,21.1,13.8,17.8,16,409
2014,audi,rs5,subcompact,4.2,8,a7,z,15.3,10.9,13.3,21,306
2014,audi,rs5 cabriolet,subcompact,4.2,8,a7,z,15.2,11.3,13.4,21,308
2014,audi,rs7,mid-size,4.0,8,as8,z,15.3,9.3,12.6,22,290
2014,audi,s4,compact,3.0,6,a7,z,13.2,9.2,11.4,25,262
2014,audi,s4,compact,3.0,6,m6,z,14.6,9.8,12.4,23,285
2014,audi,s5,subcompact,3.0,6,a7,z,13.2,9.2,11.4,25,262
2014,audi,s5,subcompact,3.0,6,m6,z,14.6,9.8,12.4,23,285
2014,audi,s5 cabriolet,subcompact,3.0,6,a7,z,13.3,9.5,11.6,24,267
2014,audi,s6,mid-size,4.0,8,a7,z,14.2,9.7,12.2,23,281
2014,audi,s7,mid-size,4.0,8,a7,z,14.2,9.7,12.2,23,281
2014,audi,s8,mid-size,4.0,8,as8,z,15.4,9.8,12.9,22,297
2014,audi,sq5,suv - small,3.0,6,as8,z,14.9,10.1,12.7,22,292
2014,audi,tt coupe quattro,subcompact,2.0,4,a6,z,10.4,7.6,9.1,31,209
2014,audi,tt roadster quattro,two-seater,2.0,4,a6,z,10.4,7.6,9.1,31,209
2014,audi,tts coupe quattro,subcompact,2.0,4,a6,z,11.5,8.8,10.3,27,237
2014,audi,tts roadster quattro,two-seater,2.0,4,a6,z,11.5,8.8,10.3,27,237
2014,bentley,continental gt,subcompact,4.0,8,as8,z,15.4,9.8,12.9,22,297
2014,bentley,continental gt,subcompact,6.0,12,as8,z,18.8,11.5,15.5,18,356
2014,bentley,continental gt convertible,subcompact,4.0,8,as8,z,16.8,10.3,13.9,20,320
2014,bentley,continental gt speed convertible,subcompact,6.0,12,as8,z,20.0,12.2,16.5,17,380
2014,bentley,continental gtc,subcompact,4.0,8,as8,z,16.7,10.6,14.0,20,322
2014,bentley,continental gtc,subcompact,6.0,12,as8,z,20.0,12.2,16.5,17,380
2014,bentley,flying spur,mid-size,6.0,12,as8,z,20.0,12.2,16.5,17,380
2014,bentley,mulsanne,mid-size,6.8,8,as8,z,22.3,14.9,19.0,15,437
2014,bmw,320i,compact,2.0,4,a8,z,10.0,6.5,8.4,34,193
2014,bmw,320i,compact,2.0,4,m6,z,10.4,6.7,8.7,32,200
2014,bmw,320i xdrive,compact,2.0,4,a8,z,10.2,7.0,8.8,32,202
2014,bmw,328d xdrive,compact,2.0,4,a8,d,7.6,5.5,6.7,42,181
2014,bmw,328d xdrive touring,station wagon - small,2.0,4,a8,d,7.6,5.5,6.7,42,181
2014,bmw,328i,compact,2.0,4,a8,z,10.0,6.5,8.4,34,193
2014,bmw,328i,compact,2.0,4,m6,z,10.4,6.7,8.7,32,200
2014,bmw,328i xdrive,compact,2.0,4,a8,z,10.6,7.2,9.1,31,209
2014,bmw,328i xdrive gran turismo,full-size,2.0,4,a8,z,10.6,7.2,9.1,31,209
2014,bmw,328i xdrive touring,station wagon - small,2.0,4,a8,z,10.6,7.2,9.1,31,209
2014,bmw,335i,compact,3.0,6,a8,z,11.4,7.3,9.6,29,221
2014,bmw,335i,compact,3.0,6,m6,z,11.8,7.9,10.0,28,230
2014,bmw,335i xdrive,compact,3.0,6,a8,z,11.7,7.8,9.9,29,228
2014,bmw,335i xdrive,compact,3.0,6,m6,z,11.9,8.3,10.3,27,237
2014,bmw,335i xdrive gran turismo,full-size,3.0,6,a8,z,11.9,8.0,10.1,28,232
2014,bmw,428i coupe,compact,2.0,4,a8,z,10.0,6.5,8.4,34,193
2014,bmw,428i coupe,compact,2.0,4,m6,z,10.4,6.7,8.7,32,200
2014,bmw,428i xdrive coupe,compact,2.0,4,a8,z,10.6,7.2,9.1,31,209
2014,bmw,435i coupe,compact,3.0,6,a8,z,11.4,7.3,9.6,29,221
2014,bmw,435i coupe,compact,3.0,6,m6,z,11.8,7.9,10.0,28,230
2014,bmw,435i xdrive coupe,compact,3.0,6,a8,z,11.7,7.8,9.9,29,228
2014,bmw,435i xdrive coupe,compact,3.0,6,m6,z,11.9,8.3,10.3,27,237
2014,bmw,528i,mid-size,2.0,4,a8,z,10.2,7.0,8.8,32,202
2014,bmw,528i xdrive,mid-size,2.0,4,a8,z,10.6,7.2,9.1,31,209
2014,bmw,535d xdrive,mid-size,3.0,6,a8,d,9.2,6.4,7.9,36,213
2014,bmw,535i xdrive,mid-size,3.0,6,a8,z,11.9,8.0,10.1,28,232
