date_reg,type,maker,model,colour,fuel,state,modelyear,vehicleclass,enginesize,cylinders,transmission,fueltype,fuelconsumption_city,fuelconsumption_hwy,fuelconsumption_comb,fuelconsumption_comb_mpg,co2emissions
2025-04-22,motokar,aston martin,vanquish,green,petrol,w.p. kuala lumpur,2014,minicompact,5.9,12,a6,z,18.0,12.6,15.6,18,359
2025-03-06,motokar,audi,a4,silver,petrol,johor,2014,compact,2.0,4,av8,z,9.9,7.4,8.8,32,202
2025-03-06,motokar,audi,a4,black,petrol,pahang,2014,compact,2.0,4,av8,z,9.9,7.4,8.8,32,202
2025-01-31,motokar,audi,a8,grey,petrol,w.p. kuala lumpur,2014,mid-size,3.0,6,as8,z,13.1,8.8,11.2,25,258
2025-04-25,motokar,audi,a8,grey,petrol,w.p. kuala lumpur,2014,mid-size,3.0,6,as8,z,13.1,8.8,11.2,25,258
2025-01-31,motokar,audi,a8,grey,petrol,w.p. kuala lumpur,2014,mid-size,4.0,8,as8,z,13.5,8.6,11.3,25,260
2025-04-25,motokar,audi,a8,grey,petrol,w.p. kuala lumpur,2014,mid-size,4.0,8,as8,z,13.5,8.6,11.3,25,260
2025-01-16,jip,audi,q5,black,petrol,w.p. kuala lumpur,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2025-01-16,jip,audi,q5,blue,petrol,w.p. kuala lumpur,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2025-01-17,jip,audi,q5,grey,petrol,rakan niaga,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2025-01-23,jip,audi,q5,grey,petrol,w.p. kuala lumpur,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2025-01-28,jip,audi,q5,blue,petrol,w.p. kuala lumpur,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2025-02-26,jip,audi,q5,white,diesel,rakan niaga,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
2025-03-20,jip,audi,q5,white,petrol,rakan niaga,2014,suv - small,2.0,4,as8,z,12.0,8.5,10.4,27,239
