date_reg,type,maker,model,colour,fuel,state
2025-01-01,motokar,byd,seal,white,electric,rakan niaga
2025-01-01,window_van,cam,placer-x,yellow,greendiesel,johor
2025-01-01,jip,chery,jaecoo j7,green,petrol,rakan niaga
2025-01-01,jip,chery,jaecoo j7,silver,petrol,rakan niaga
2025-01-01,jip,chery,tiggo,grey,petrol,rakan niaga
2025-01-01,motokar,dong feng,box e3,purple,electric,rakan niaga
2025-01-01,motokar,dong feng,box e3,white,electric,rakan niaga
2025-01-01,pick_up,ford,ranger,black,greendiesel,rakan niaga
2025-01-01,pick_up,ford,ranger,white,greendiesel,johor
2025-01-01,pick_up,ford,ranger,white,petrol,johor
2025-01-01,jip,great wall,haval h6,green,hybrid_petrol,rakan niaga
2025-01-01,jip,great wall,haval h6,silver,hybrid_petrol,rakan niaga
2025-01-01,jip,great wall,haval h6,white,hybrid_petrol,rakan niaga
2025-01-01,motokar,great wall,ora,green,electric,johor
2025-01-01,motokar,honda,city,grey,petrol,johor
2025-01-01,window_van,honda,n-box,grey,petrol,johor
2025-01-01,window_van,honda,stepwgn,white,petrol,johor
2025-01-01,motokar,honda,wr-v,grey,petrol,rakan niaga
2025-01-01,jip,jeep,wrangler,grey,petrol,johor
2025-01-01,jip,lexus,rx,black,petrol,johor
2025-01-01,jip,lexus,rx,white,petrol,johor
2025-01-01,jip,lexus,rx,white,petrol,rakan niaga
2025-01-01,jip,mg,mg hs,black,petrol,kedah
2025-01-01,motokar,mg,mg4,white,electric,rakan niaga
2025-01-01,motokar,mg,mg5,grey,petrol,rakan niaga
2025-01-01,motokar,mercedes benz,c-class,black,hybrid_petrol,rakan niaga
2025-01-01,motokar,mercedes benz,e-class,white,hybrid_petrol,rakan niaga
2025-01-01,pick_up,mitsubishi,triton,grey,greendiesel,rakan niaga
2025-01-01,motokar_pelbagai_utiliti,mitsubishi,xpander,black,petrol,rakan niaga
2025-01-01,motokar_pelbagai_utiliti,mitsubishi,xpander,white,petrol,rakan niaga
2025-01-01,motokar_pelbagai_utiliti,mitsubishi,xpander,grey,petrol,rakan niaga
2025-01-01,motokar,nissan,almera,black,petrol,rakan niaga
2025-01-01,pick_up,nissan,navara,grey,greendiesel,johor
2025-01-01,window_van,nissan,serena,grey,petrol,rakan niaga
2025-01-01,motokar_pelbagai_utiliti,perodua,alza,brown,petrol,rakan niaga
2025-01-01,motokar_pelbagai_utiliti,perodua,alza,red,petrol,kelantan
2025-01-01,motokar,perodua,axia,grey,petrol,rakan niaga
2025-01-01,motokar,perodua,bezza,silver,petrol,rakan niaga
2025-01-01,motokar,perodua,bezza,grey,petrol,rakan niaga
2025-01-01,motokar,perodua,bezza,silver,petrol,johor
2025-01-01,motokar,perodua,myvi,white,petrol,rakan niaga
2025-01-01,motokar,perodua,myvi,grey,petrol,rakan niaga
2025-01-01,motokar,porsche,911 carrera,grey,petrol,johor
2025-01-01,jip,porsche,macan,white,petrol,johor
2025-01-01,motokar,proton,iriz,silver,petrol,terengganu
2025-01-01,motokar,proton,persona,grey,petrol,rakan niaga
2025-01-01,motokar,proton,saga,grey,petrol,rakan niaga
2025-01-01,jip,rolls royce,cullinan,white,petrol,johor
2025-01-01,window_van,toyota,alphard,black,petrol,johor
2025-01-01,window_van,toyota,alphard,white,petrol,kedah
2025-01-01,window_van,toyota,alphard,white,petrol,johor
2025-01-01,window_van,toyota,alphard,white,petrol,rakan niaga
2025-01-01,motokar,toyota,corolla altis,white,petrol,rakan niaga
2025-01-01,jip,toyota,corolla cross,white,petrol,rakan niaga
2025-01-01,jip,toyota,harrier,black,petrol,kelantan
2025-01-01,jip,toyota,harrier,black,petrol,johor
2025-01-01,jip,toyota,harrier,white,petrol,kedah
2025-01-01,jip,toyota,harrier,black,petrol,rakan niaga
2025-01-01,pick_up,toyota,hilux,black,greendiesel,johor
2025-01-01,pick_up,toyota,hilux,silver,greendiesel,kedah
2025-01-01,pick_up,toyota,hilux,black,greendiesel,kedah
2025-01-01,pick_up,toyota,hilux,brown,greendiesel,kedah
2025-01-01,pick_up,toyota,hilux,silver,greendiesel,johor
2025-01-01,jip,toyota,land cruiser,black,petrol,johor
2025-01-01,jip,toyota,land cruiser prado,white,diesel,johor
2025-01-01,window_van,toyota,vellfire,white,petrol,johor
2025-01-01,motokar,toyota,vios,white,petrol,rakan niaga
2025-01-02,motokar,bmw,2 series,blue,petrol,rakan niaga
2025-01-02,motokar,bmw,3 series,grey,petrol,rakan niaga
2025-01-02,motokar,bmw,3 series,grey,petrol,kedah
2025-01-02,motokar,bmw,3 series,blue,petrol,johor
2025-01-02,motokar,bmw,7 series,grey,hybrid_petrol,w.p. kuala lumpur
2025-01-02,motokar,bmw,7 series,black,hybrid_petrol,w.p. kuala lumpur
2025-01-02,jip,bmw,x7,grey,petrol,melaka
2025-01-02,jip,bmw,x7,black,petrol,w.p. kuala lumpur
2025-01-02,motokar,bmw,i5,black,electric,rakan niaga
2025-01-02,jip,bmw,ix,grey,electric,w.p. kuala lumpur
2025-01-02,jip,bmw,ix3,white,electric,w.p. kuala lumpur
2025-01-02,motokar_pelbagai_utiliti,byd,m6,grey,electric,rakan niaga
2025-01-02,jip,byd,sealion,grey,electric,rakan niaga
2025-01-02,jip,byd,sealion,black,electric,rakan niaga
2025-01-02,window_van,cam,kingo,white,greendiesel,sabah
2025-01-02,jip,chery,jaecoo j7,white,petrol,rakan niaga
2025-01-02,jip,chery,jaecoo j7,black,petrol,rakan niaga
2025-01-02,jip,chery,jaecoo j7,green,petrol,rakan niaga
2025-01-02,jip,chery,jaecoo j7,white,petrol,pulau pinang
2025-01-02,jip,chery,jaecoo j7,green,petrol,w.p. kuala lumpur
2025-01-02,jip,chery,jaecoo j7,silver,petrol,w.p. kuala lumpur
2025-01-02,jip,chery,jaecoo j7,white,petrol,negeri sembilan
2025-01-02,jip,chery,jaecoo j7,silver,petrol,rakan niaga
2025-01-02,jip,chery,jaecoo j7,green,petrol,pulau pinang
2025-01-02,jip,chery,jaecoo j7,black,petrol,pulau pinang
2025-01-02,jip,chery,jaecoo j7,black,petrol,sarawak
2025-01-02,jip,chery,jaecoo j7,black,petrol,w.p. kuala lumpur
2025-01-02,jip,chery,jaecoo j7,black,hybrid_petrol,w.p. kuala lumpur
2025-01-02,jip,chery,omoda 5,black,petrol,w.p. kuala lumpur
2025-01-02,jip,chery,omoda 5,black,petrol,rakan niaga
2025-01-02,jip,chery,omoda 5,grey,petrol,rakan niaga
2025-01-02,jip,chery,omoda 5,green,electric,rakan niaga
2025-01-02,jip,chery,omoda 9,black,petrol,rakan niaga
2025-01-02,jip,chery,omoda 9,white,petrol,perak
2025-01-02,jip,chery,tiggo,black,petrol,rakan niaga
2025-01-02,motokar,dong feng,box e3,blue,electric,rakan niaga
2025-01-02,motokar,dong feng,box e3,purple,electric,w.p. kuala lumpur
2025-01-02,motokar,dong feng,box e3,green,electric,rakan niaga
2025-01-02,motokar,dong feng,box e3,green,electric,w.p. kuala lumpur
2025-01-02,pick_up,ford,ranger,yellow,greendiesel,rakan niaga
2025-01-02,pick_up,ford,ranger,black,greendiesel,rakan niaga
2025-01-02,pick_up,ford,ranger,white,greendiesel,rakan niaga
2025-01-02,pick_up,ford,ranger,grey,greendiesel,rakan niaga
2025-01-02,pick_up,ford,ranger,black,petrol,w.p. kuala lumpur
